Question,Answer
Can an arrested person be produced before Magistrate beyond 24 hours?,"No, production must be within 24 hours excluding travel time."
What is Section 167 CrPC?,Procedure for detention beyond 24 hours and bail rights.
Can evidence be given by affidavit?,"Yes, in certain formal cases (Section 295)."
What is Section 195 CrPC?,Special procedure for offences against public servants.
What is the role of Executive Magistrates?,They maintain law and order and issue preventive orders.
"What is ""security for good behaviour""Â?",Bond to keep peace and prevent offences.
Can sureties be cancelled?,"Yes, upon application and court order."
What is Section 436A CrPC?,Limits detention period of undertrial prisoners.
Can a police officer arrest a person outside jurisdiction?,"Yes, under Section 48."
What is the role of Public Prosecutors?,Represent the state in criminal trials.
What is the difference between appeal and revision?,Appeal challenges facts and law; revision checks legal correctness.
What is Section 482 CrPC?,High Court's inherent powers.
Can an accused file anticipatory bail?,"Yes, under Section 438 CrPC."
Can courts transfer cases?,"Yes, for fairness or convenience."
What is the maximum punishment in summary trial?,Generally up to six months or fine.
What is Section 327 CrPC?,Trial by another Magistrate when one leaves office.
What is Section 320 CrPC?,Compounding of offences.
What is Section 353 CrPC?,Judgment delivery.
What is Section 329 CrPC?,Trial of persons of unsound mind.
What is Section 330 CrPC?,Procedure for trial of a person of unsound mind before the court.
What is Section 331 CrPC?,Release of a person of unsound mind pending investigation or trial.
What is Section 332 CrPC?,Resumption of inquiry or trial of an accused declared to be of sound mind.
What is Section 333 CrPC?,Judgment of acquittal on ground of unsoundness of mind.
What is Section 334 CrPC?,Detention of a person acquitted on grounds of unsoundness of mind.
What is Section 335 CrPC?,Power of State Government to empower officers to discharge lunatics.
What is Section 336 CrPC?,Procedure where lunatic prisoner is fit to defend themselves.
What is Section 337 CrPC?,Procedure where lunatic detained is declared fit to be released.
What is Section 338 CrPC?,Delivery of lunatic to care of relative or friend.
What is Section 340 CrPC?,Procedure in cases mentioned in Section 195 regarding offences against public servants.
What is Section 341 CrPC?,Appeal against order regarding offence against public justice.
What is Section 342 CrPC?,Power to order costs in certain cases.
What is Section 343 CrPC?,Procedure of Magistrate taking cognizance of offences.
What is Section 344 CrPC?,Summary procedure for trial of giving false evidence.
What is Section 345 CrPC?,Procedure in cases of contempt of court.
What is Section 346 CrPC?,Procedure where court thinks case should not be dealt with under Section 345.
What is Section 347 CrPC?,When Registrar or Sub-Registrar is deemed a civil court.
What is Section 348 CrPC?,Discharge of offender on submission of apology.
What is Section 349 CrPC?,Imprisonment or committal of person refusing to answer or produce documents.
What is Section 350 CrPC?,Summary procedure for punishment of non-attendance by witness in obedience to summons.
What is Section 351 CrPC?,"Appeals from convictions under Sections 344, 345, 349 and 350."
What is Section 352 CrPC?,Judges and Magistrates not to try certain offences when committed before themselves.
What is Section 353 CrPC?,Judgment delivery.
What is Section 354 CrPC?,Language and contents of judgment.
What is Section 355 CrPC?,Metropolitan Magistrate's judgment.
What is Section 356 CrPC?,Order for notifying address of previously convicted offenders.
What is Section 357 CrPC?,Order to pay compensation.
What is Section 357A CrPC?,Victim compensation scheme.
What is Section 357B CrPC?,Compensation to be in addition to fine under certain IPC sections.
What is Section 357C CrPC?,Treatment of victims.
What is Section 358 CrPC?,Compensation to persons groundlessly arrested.
What is Section 359 CrPC?,Order to pay costs in non-cognizable cases.
What is Section 360 CrPC?,Order to release on probation of good conduct or after admonition.
What is Section 361 CrPC?,Special reasons to be recorded in certain cases.
What is Section 362 CrPC?,Court not to alter judgment.
What is Section 363 CrPC?,Copy of judgment to be given to accused and others.
What is Section 364 CrPC?,Judgment when to be translated.
What is Section 365 CrPC?,Court of Session to send copy of finding and sentence to District Magistrate.
What is Section 366 CrPC?,Death sentences to be submitted by Court of Session for confirmation.
What is Section 367 CrPC?,Power to direct further inquiry or additional evidence.
What is the power of the High Court regarding confirmation of death sentences?,The High Court must confirm all death sentences passed by Sessions Courts before execution (Section 368).
Can the High Court direct further inquiry before confirming a death sentence?,"Yes, under Section 367, the High Court can order further inquiry or additional evidence."
What happens if the High Court annuls a death sentence?,The conviction may be altered or the accused acquitted or sentenced to a lesser punishment (Section 368).
